Country,Confirmed_Cases,Deaths,Recovered,Month
Barbados,3652.0,42.0,3465.0,03/31/2021
Libya,158957.0,2667.0,147147.0,03/31/2021
Libya,159980.0,2680.0,147864.0,04/01/2021
North Macedonia,131424.0,3810.0,107740.0,04/01/2021
Benin,7313.0,93.0,6452.0,04/02/2021
Cameroon,57337.0,851.0,35261.0,04/03/2021
San Marino,4775.0,84.0,4170.0,04/04/2021
Trinidad and Tobago,8178.0,145.0,7648.0,04/04/2021
Denmark,234489.0,2431.0,222843.0,04/05/2021
Uzbekistan,84127.0,633.0,82055.0,04/07/2021
Afghanistan,56943.0,2516.0,51956.0,04/08/2021
Ecuador,344877.0,17275.0,290314.0,04/10/2021
Italy,3769814.0,114254.0,3122555.0,04/11/2021
Cyprus,52033.0,273.0,39061.0,04/12/2021
Morocco,502277.0,8909.0,488632.0,04/12/2021
Central African Republic,5682.0,75.0,5112.0,04/13/2021
Kazakhstan,327593.0,3276.0,287750.0,04/13/2021
Algeria,119323.0,3148.0,83169.0,04/16/2021
Malaysia,370528.0,1365.0,350563.0,04/16/2021
Serbia,657716.0,5920.0,0.0,04/16/2021
Oman,180031.0,1878.0,160324.0,04/18/2021
Timor-Leste,1657.0,3.0,795.0,04/22/2021
Gambia,5857.0,173.0,5284.0,04/24/2021
Senegal,40082.0,1099.0,38815.0,04/24/2021
Kosovo,103638.0,2134.0,91211.0,04/25/2021
Turkey,4667281.0,38711.0,4121671.0,04/26/2021
Barbados,3828.0,44.0,3746.0,04/27/2021
Norway,112970.0,756.0,17998.0,04/30/2021
Bhutan,1106.0,1.0,990.0,05/01/2021
China,0.0,0.0,0.0,01/26/2020
US,5.0,0.0,0.0,01/29/2020
Japan,11.0,0.0,1.0,01/30/2020
France,6.0,0.0,0.0,02/02/2020
UK,3.0,0.0,0.0,02/08/2020
UK,3.0,0.0,0.0,02/09/2020
Japan,43.0,1.0,12.0,02/15/2020
Mainland China,74546.0,2114.0,15952.0,02/19/2020
Monaco,1.0,0.0,0.0,02/29/2020
Belgium,2.0,0.0,1.0,03/01/2020
Others,705.0,6.0,10.0,03/02/2020
Romania,4.0,0.0,1.0,03/04/2020
Sweden,101.0,0.0,0.0,03/06/2020
Iceland,58.0,0.0,0.0,03/09/2020
Qatar,320.0,0.0,0.0,03/13/2020
Hong Kong,145.0,4.0,81.0,03/15/2020
Bolivia,27.0,0.0,0.0,03/23/2020
Mongolia,10.0,0.0,0.0,03/23/2020
France,20123.0,862.0,2207.0,03/23/2020
Antigua and Barbuda,3.0,0.0,0.0,03/24/2020
Congo (Kinshasa),65.0,6.0,2.0,03/28/2020
Antigua and Barbuda,7.0,0.0,0.0,03/29/2020
Belize,2.0,0.0,0.0,03/29/2020
US,141098.0,2505.0,2665.0,03/29/2020
Jordan,268.0,5.0,26.0,03/30/2020
US,213623.0,4879.0,8474.0,04/01/2020
Poland,3383.0,71.0,56.0,04/03/2020
Djibouti,50.0,0.0,8.0,04/04/2020
Burma,22.0,1.0,0.0,04/07/2020
Gabon,30.0,1.0,1.0,04/07/2020
Ukraine,1668.0,52.0,35.0,04/08/2020
Algeria,1761.0,256.0,405.0,04/10/2020
Bolivia,268.0,19.0,2.0,04/10/2020
Burundi,3.0,0.0,0.0,04/10/2020
Ghana,378.0,6.0,4.0,04/10/2020
Nigeria,305.0,7.0,58.0,04/10/2020
Colombia,2852.0,112.0,319.0,04/13/2020
Liberia,59.0,6.0,4.0,04/14/2020
Montenegro,283.0,4.0,46.0,04/14/2020
Equatorial Guinea,51.0,0.0,4.0,04/16/2020
Mauritius,324.0,9.0,81.0,04/16/2020
Macau,45.0,0.0,16.0,04/16/2020
